Console Name,Type,Company,Generation,Total Units Sold (Millions),North America,Europe,Japan,Other
PlayStation 2,Home,Sony,Sixth,158.7,53.65,55.28,23.18,26.59
Nintendo DS,Handheld,Nintendo,Seventh,154.02,57.92,51.84,32.99,11.28
Nintendo Switch,Home,Nintendo,Eighth,143.42,55.17,36.89,34.8,16.56
Game Boy,Handheld,Nintendo,Fourth,118.69,43.18,40.05,32.47,2.99
PlayStation 4,Home,Sony,Eighth,117.18,38.12,45.85,9.68,23.53
PlayStation,Home,Sony,Fifth,102.49,40.78,31.09,21.59,9.04
Wii,Home,Nintendo,Seventh,101.63,45.51,33.12,12.77,10.23
PlayStation 3,Home,Sony,Seventh,87.4,29.8,30.87,10.47,16.27
Xbox 360,Home,Microsoft,Seventh,85.73,46.14,25.08,1.66,12.85
PlayStation Portable,Handheld,Sony,Seventh,82.52,21.62,25.31,20.02,15.57
Game Boy Advance,Handheld,Nintendo,Sixth,81.51,40.39,21.31,16.96,2.85
Nintendo 3DS,Handheld,Nintendo,Eighth,75.94,25.47,20.45,24.67,5.35
Nintendo Entertainment System,Home,Nintendo,Third,61.91,33.49,8.3,19.35,0.77
PlayStation 5,Home,Sony,Ninth,59.8,22.84,19.74,5.79,11.44
Xbox One,Home,Microsoft,Eighth,57.96,32.97,14.86,0.12,10.02
Super Nintendo Entertainment System,Home,Nintendo,Fourth,49.1,22.88,8.15,17.17,0.9
Sega Genesis,Home,Sega,Fourth,34.06,18.5,8.39,3.58,3.59
Nintendo 64,Home,Nintendo,Fifth,32.93,20.11,6.35,5.54,0.93
Atari 2600,Home,Atari,Second,30,23.54,3.35,2.36,0.75
Xbox Series X/S,Home,Microsoft,Ninth,29.08,16.17,7.77,0.61,4.51
Xbox,Home,Microsoft,Sixth,24.65,15.77,7.17,0.47,1.24
GameCube,Home,Nintendo,Sixth,21.74,12.55,4.44,4.04,0.71
Master System,Home,Sega,Third,20.84,2,6.95,2.52,9.37
PlayStation Vita,Handheld,Sony,Eighth,15.82,2.7,3.94,5.73,3.44
Wii U,Home,Nintendo,Eighth,13.56,6.15,3.27,3.33,0.82
Game Gear,Handheld,Sega,Fourth,10.62,5.4,3.23,1.78,0.21
TurboGrafx-16,Home,NEC,Fourth,10,0.75,#N/A,7.76,#N/A
Sega Saturn,Home,Sega,Fifth,9.26,1.83,1.1,5.8,0.53
Dreamcast,Home,Sega,Sixth,9.13,3.9,1.91,2.25,1.07
Intellivision,Home,Mattel,Second,5,#N/A,#N/A,#N/A,#N/A
Atari 7800,Home,Atari,Third,3.77,3.77,0,0,0
WonderSwan,Handheld,Bandai,Sixth,3.5,0,0,3.5,0
N-Gage,Handheld,Nokia,Sixth,3,#N/A,#N/A,#N/A,#N/A
Color TV-Game,Home,Nintendo,First,3,#N/A,#N/A,3,#N/A
Sega CD,Add-on,Sega,Fourth,2.24,#N/A,#N/A,0.4,#N/A
3DO,Home,Panasonic,Fifth,2,#N/A,#N/A,#N/A,#N/A
ColecoVision,Home,Coleco,Second,2,#N/A,#N/A,#N/A,#N/A
Neo Geo Pocket,Handheld,SNK,Fifth,2,#N/A,#N/A,0.55,#N/A
Magnavox Odyssey 2,Home,Magnavox,Second,2,#N/A,#N/A,#N/A,#N/A
SG-1000,Home,Sega,Third,1.92,#N/A,#N/A,1.92,#N/A
TurboExpress,Handheld,NEC,Fourth,1.5,#N/A,#N/A,#N/A,#N/A
Neo Geo,Home,SNK,Fourth,1.06,#N/A,#N/A,1,#N/A
Atari Lynx,Handheld,Atari,Fourth,1,#N/A,#N/A,#N/A,#N/A
Atari 5200,Home,Atari,Second,1,1,#N/A,#N/A,#N/A
CD-i,Home,Philips,Fourth,1,0.4,#N/A,#N/A,#N/A
Coleco Telstar,Home,Coleco,First,1,1,#N/A,#N/A,#N/A
Sega Nomad,Handheld,Sega,Fifth,1,1,#N/A,#N/A,#N/A
Sega 32X,Add-on,Sega,Fifth,0.8,#N/A,#N/A,#N/A,#N/A
Virtual Boy,Handheld,Nintendo,Fifth,0.77,#N/A,#N/A,0.14,#N/A
Neo Geo CD,Home,SNK,Fourth,0.57,#N/A,#N/A,#N/A,#N/A
Fairchild Channel F,Home,Fairchild Channel,Second,0.35,#N/A,#N/A,#N/A,#N/A
Magnavox Odyssey,Home,Magnavox,First,0.35,#N/A,#N/A,#N/A,#N/A
Atari Jaguar,Home,Atari,Fifth,0.25,#N/A,#N/A,#N/A,#N/A
